"","gene_id","chr","type","phenotype","celltype","MiXcan_snp_num","filtered_snp_num","Z_1_join","p_1_join","Z_2_join","p_2_join","p_join"
"1","ENSG00000048707.13","1","CellTypeSpecific","DA","adipose",52,43,-1.07334524704073,0.283116241008617,-0.645857591070059,0.518371586692362,0.385362720577513
"2","ENSG00000084676.15","2","CellTypeSpecific","DA","adipose",60,56,0.528570517992795,0.5971034165324,0.275052012414212,0.783276278608254,0.709798596919203
"3","ENSG00000134917.9","11","CellTypeSpecific","DA","adipose",13,12,-1.639529448279,0.10110304285004,-1.6817925998414,0.0926090642076711,0.0966755913076401
"4","ENSG00000142233.11","19","CellTypeSpecific","DA","adipose",47,47,-2.1377032957938,0.0325408318545872,-4.15794907688795,3.21117580693094e-05,6.41604217848883e-05
"5","ENSG00000149054.15","11","CellTypeSpecific","DA","adipose",59,53,0.998647987979825,0.31796524482606,-0.952961282964498,0.340609687815511,0.329047872465791
"6","ENSG00000198914.3","2","CellTypeSpecific","DA","adipose",30,29,1.23425952032621,0.217106214672372,0.555042272131694,0.57886574683358,0.355171397515454
"7","ENSG00000236036.1","13","CellTypeSpecific","DA","adipose",7,6,-1.56918507203497,0.116604821553285,-1.08128063838923,0.279572297287722,0.16778597971986
"8","ENSG00000257800.1","2","CellTypeSpecific","DA","adipose",42,40,-1.97288102084554,0.0485091194302749,1.90434753788064,0.0568649368620075,0.052358727145876
"9","ENSG00000092607.13","1","NonSpecific","DA","adipose",33,30,1.07036792984111,0.284453728778454,1.07036792984111,0.284453728778454,0.284453728778454
"10","ENSG00000103199.13","16","NonSpecific","DA","adipose",55,48,1.00363669838576,0.315553758971349,1.00363669838576,0.315553758971349,0.315553758971349
"11","ENSG00000110092.3","11","NonSpecific","DA","adipose",27,25,1.45540035894085,0.145558457111027,1.45540035894085,0.145558457111027,0.145558457111027
"12","ENSG00000159164.9","1","NonSpecific","DA","adipose",26,13,-5.14645545125676,2.65454467574029e-07,-5.14645545125676,2.65454467574029e-07,2.65454467599626e-07
"13","ENSG00000165269.12","9","NonSpecific","DA","adipose",28,24,-0.836071637986114,0.40311460286684,-0.836071637986114,0.40311460286684,0.40311460286684
"14","ENSG00000166333.13","11","NonSpecific","DA","adipose",18,17,-0.123467534280978,0.901736881444028,-0.123467534280978,0.901736881444028,0.901736881444028
"15","ENSG00000224397.5","20","NonSpecific","DA","adipose",37,34,-4.77063943618327,1.83642009619022e-06,-4.77063943618327,1.83642009619022e-06,1.83642009620228e-06
"16","ENSG00000226445.1","6","NonSpecific","DA","adipose",28,26,-2.53425880539924,0.0112685472056336,-2.53425880539924,0.0112685472056336,0.0112685472056336
"17","ENSG00000232871.8","19","NonSpecific","DA","adipose",37,37,-6.57158385386402,4.97828370383449e-11,-6.57158385386402,4.97828370383449e-11,4.97828388340483e-11
"18","ENSG00000277147.4","1","NonSpecific","DA","adipose",22,7,1.2236642754131,0.221078901579684,1.2236642754131,0.221078901579684,0.221078901579684
